song,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Under The Influence,Chris Brown,1,2019,10,4,3859,26,73,31,69,6,0,11,4
Yellow,Chris Molitor,1,1999,1,1,31358,43,43,28,66,0,0,23,3
Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986,1,1,888,0,51,87,58,36,0,18,4
Ya No Somos Ni Seremos,Christian Nodal,1,2022,2,18,866,16,59,73,45,44,0,34,3
Run Rudolph Run - Single Version,Chuck Berry,1,1958,1,1,8612,0,69,94,71,79,0,7,8
Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,37,17,47,2,46,11,3
love nwantiti (ah ah ah),Ckay,1,2019,7,26,5669,2,74,53,73,61,0,13,4
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,2019,8,30,2696,0,58,44,60,44,9,5,6
Players,Coi Leray,1,2022,11,30,4096,6,95,62,52,3,0,5,16
Viva La Vida,Coldplay,1,2008,1,1,33898,62,49,42,62,9,0,11,3
The Scientist,Coldplay,1,2002,8,5,30992,6,56,21,44,73,0,11,2
Sparks,Coldplay,1,2000,7,10,10826,4,37,17,27,75,5,10,3
My Universe,"Coldplay, BTS",2,2021,9,24,6127,13,58,42,68,1,0,14,4
Heather,Conan Gray,1,2020,3,20,6170,7,47,25,43,62,0,32,3
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,10624,17,63,40,61,9,0,56,6
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,15890,14,74,76,70,7,0,13,3
Here With Me,d4vd,1,2022,7,17,3246,23,58,27,48,50,0,12,3
Romantic Homicide,d4vd,1,2022,7,20,2335,23,56,20,55,45,1,32,3
Gasolina,Daddy Yankee,1,2004,7,13,6457,18,86,74,80,33,0,8,6
La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,29,4890,20,74,59,87,3,0,8,5
Fuera del mercado,Danny Ocean,1,2022,2,17,2499,21,45,27,67,32,0,13,14
Christmas (Baby Please Come Home),Darlene Love,1,1963,11,22,9122,0,34,35,76,39,0,8,5
Starlight,Dave,1,2022,3,3,1856,3,95,36,37,35,0,10,28
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,92,66,58,19,0,8,24
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,60,23,91,0,0,12,3
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,2022,3,18,5290,0,60,46,71,3,0,16,4
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,6,16,2442,0,82,49,88,20,0,21,3
Daylight,David Kushner,1,2023,4,14,3528,98,51,32,43,83,0,9,3
Miserable Man,David Kushner,1,2022,1,7,788,0,63,31,35,93,0,29,3
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,3,31,859,0,79,48,84,13,0,21,23
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16,2341,0,91,59,82,8,0,6,8
How Do I Say Goodbye,Dean Lewis,1,2022,8,5,2163,15,40,39,64,21,0,7,7
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,11,16,6512,0,45,72,24,91,0,18,4
Cool for the Summer,Demi Lovato,1,2015,1,1,9243,0,59,30,62,1,0,8,4
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9,852,0,87,52,52,31,0,28,24
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,74,76,76,6,0,10,9
Woman,Doja Cat,1,2021,6,25,9424,0,82,88,76,9,0,12,9
Need To Know,Doja Cat,1,2021,6,11,6672,0,66,19,61,30,0,9,7
Get Into It (Yuh),Doja Cat,1,2021,6,25,4999,0,91,79,66,32,0,9,16
Streets,Doja Cat,1,2019,11,7,5728,0,75,19,46,21,4,34,8
Ain't Shit,Doja Cat,1,2021,6,25,3436,0,86,62,49,51,0,35,21
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,5,6,4576,0,80,74,60,8,0,14,26
You Right,"Doja Cat, The Weeknd",2,2021,6,24,5073,0,83,44,62,2,0,8,6
Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1,17138,37,47,86,92,8,0,5,24
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0,84,44,67,8,0,11,6
Boyfriend,Dove Cameron,1,2022,2,11,3766,0,35,23,61,23,0,19,6
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,1995,12,28,18773,0,77,76,84,3,0,38,4
Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,1,33966,0,81,53,78,18,0,6,24
The Next Episode,"Dr. Dre, Snoop Dogg",2,1999,1,1,31762,0,92,31,89,3,0,8,25
Search & Rescue,Drake,1,2023,4,7,2066,6,82,54,44,6,0,33,7
Massive,Drake,1,2022,6,17,5263,0,51,5,68,12,2,15,6
Sticky,Drake,1,2022,6,17,2814,0,88,8,49,9,0,9,14
BackOutsideBoyz,Drake,1,2022,11,4,1045,0,85,40,43,4,0,39,32
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,27,54,40,67,0,0,9,17
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,56,42,52,5,0,36,24
Major Distribution,"Drake, 21 Savage",2,2022,11,4,1545,0,91,23,55,1,0,7,32
On BS,"Drake, 21 Savage",2,2022,11,4,1338,0,84,33,36,2,0,39,59
Circo Loco,"Drake, 21 Savage",2,2022,11,4,1794,0,73,25,61,1,0,32,7
Spin Bout U,"Drake, 21 Savage",2,2022,11,4,1652,2,77,20,70,1,0,16,5
Privileged Rappers,"Drake, 21 Savage",2,2022,11,4,1007,0,93,62,61,0,0,12,20
Broke Boys,"Drake, 21 Savage",2,2022,11,4,1060,0,64,11,53,1,0,25,27
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5,2107,0,72,18,46,7,0,28,8
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,5491,14,46,34,64,31,0,7,34
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,2021,9,3,5481,0,80,33,60,0,0,32,14
